ID,TANAP ID,Indexnr,Archief Amsterdam of Zeeland?,Deel,Folio-begin,Folio-eind,Scan-begin,Scan-Eind,Enkel gescanned of dubbel?,RGP Deel,RGP START,Jaar,Beschrijving,Datum,Datum (nummeriek),LINK naar eerste scan,Bestandsnaam van eerste scan,LINK naar laatste scan,Bestandsnaam van laatste scan,HTR van IJsberg beschikbaar?
30,1672,1075,A,,2,10,13,30,Enkel,1,118,1622,Originele generale missive uijt Batavia aen bewinthebberen in dato 21 Januarij 1622., 21 Januarij 1622.,21-01-1622,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1075/file/NL-HaNA_1.04.02_1075_0013,NL-HaNA_1.04.02_1075_0013,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1075/file/NL-HaNA_1.04.02_1075_0030,NL-HaNA_1.04.02_1075_0013,FALSE
31,1806,1082,A,,129,177,287,383,Enkel,1,#N/A,1625,Originele generale missive van den gouverneur generaal Pieter de Carpentier en raden van India aan de bewinthebberen en in dato 27 Januarij 1625., 27 Januarij 1625.,27-01-1625,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1082/file/NL-HaNA_1.04.02_1082_0287,NL-HaNA_1.04.02_1082_0287,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1082/file/NL-HaNA_1.04.02_1082_0383,NL-HaNA_1.04.02_1082_0287,FALSE
32,1957,1085,A,1,6,10,37,46,Enkel,1,#N/A,1625,Copie missive van de heer gouverneur generaal en de raad van Indien in datis 13 Augustus en 13 September 1625 via Zurat naar patria gesonden over landt na Nederland.,13 augustus en 13 september,13-08 & 13-09-1625,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1085/file/NL-HaNA_1.04.02_1085_0037,NL-HaNA_1.04.02_1085_0037,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1085/file/NL-HaNA_1.04.02_1085_0046,NL-HaNA_1.04.02_1085_0037,FALSE
33,2014,1086,A,1,1,38,19,93,Enkel,1,184,1626,"Originele generale missive van gouverneur generael Pieter de Carpentier en raedt aen de heeren bewinthebberen tot Amsterdam, in 't Casteel_Batavia adij derden Februarij 1626.",3 februari 1626,3-02-1626,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1086/file/NL-HaNA_1.04.02_1086_0019,NL-HaNA_1.04.02_1086_0019,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1086/file/NL-HaNA_1.04.02_1086_0093,NL-HaNA_1.04.02_1086_0019,FALSE
34,2047,1087,A,,139,139,299,299,Enkel,1,#N/A,1626,Copie generale missive uijt Batavia aen de bewinthebberen ter camer Amsterdam in dato 3 Februarij 1626., 3 Februarij 1626.,3-02-1626,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1087/file/NL-HaNA_1.04.02_1087_0299,NL-HaNA_1.04.02_1087_0299,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1087/file/NL-HaNA_1.04.02_1087_0299,NL-HaNA_1.04.02_1087_0299,FALSE
35,2095,1088,A,1,67,73,149,162,Enkel,1,235,1626,Originele generale missive in dato 26 December 1626 [in 't Casteel_Batavia]., 26 December 1626 [in 't Casteel_Batavia].,26-12-1626,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1088/file/NL-HaNA_1.04.02_1088_0149,NL-HaNA_1.04.02_1088_0149,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1088/file/NL-HaNA_1.04.02_1088_0162,NL-HaNA_1.04.02_1088_0149,FALSE
36,2979,1090,A,,2,3,11,14,Enkel,1,#N/A,1626,Origineel missive van Pieter de Carpentier uijt Batavia aen bewinthebberen tot Amsterdam in dato 3 Februarij 1626., 3 Februarij 1626.,3-02-1626,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1090/file/NL-HaNA_1.04.02_1090_0011,NL-HaNA_1.04.02_1090_0011,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1090/file/NL-HaNA_1.04.02_1090_0014,NL-HaNA_1.04.02_1090_0011,FALSE
37,3008,1090,A,,61,67,131,143,Enkel,1,148,1627,Originele generale missive door den Ed. heer gouverneur generael Pieter de Carpentier ende de raden van India aen bewinthebberen in dato 4 Maert 1627., 4 Maert 1627.,4-03-1627,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1090/file/NL-HaNA_1.04.02_1090_0131,NL-HaNA_1.04.02_1090_0131,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1090/file/NL-HaNA_1.04.02_1090_0143,NL-HaNA_1.04.02_1090_0131,FALSE
38,3023,1090,A,,108,146,225,302,Enkel,1,204,1626,Originele missive in dato 13 December 1626., 13 December 1626.,13-12-1626,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1090/file/NL-HaNA_1.04.02_1090_0225,NL-HaNA_1.04.02_1090_0225,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1090/file/NL-HaNA_1.04.02_1090_0302,NL-HaNA_1.04.02_1090_0225,FALSE
39,3024,1090,A,,147,147,304,306,Enkel,1,#N/A,1626,Originele missive van den gouverneur generael Pieter de Carpentier aan bewinthebberen in dato 13 December 1626., 13 December 1626.,13-12-1626,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1090/file/NL-HaNA_1.04.02_1090_0304,NL-HaNA_1.04.02_1090_0304,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1090/file/NL-HaNA_1.04.02_1090_0306,NL-HaNA_1.04.02_1090_0304,FALSE
40,3026,1090,A,,151,155,313,321,Enkel,1,203,1626,Copie generale missive aan de heeren bewinthebberen in dato 15 Februarij 1626., 15 Februarij 1626.,15-02-1626,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1090/file/NL-HaNA_1.04.02_1090_0313,NL-HaNA_1.04.02_1090_0313,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1090/file/NL-HaNA_1.04.02_1090_0321,NL-HaNA_1.04.02_1090_0313,FALSE
41,3027,1090,A,,157,159,325,329,Enkel,1,234,1626,Originele generale missive door den gouverneur generael Pieter de Carpentier ende de raden van India aan d'Ed. bewinthebberen in dato 15 December 1626., 15 December 1626.,15-12-1626,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1090/file/NL-HaNA_1.04.02_1090_0325,NL-HaNA_1.04.02_1090_0325,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1090/file/NL-HaNA_1.04.02_1090_0329,NL-HaNA_1.04.02_1090_0325,FALSE
42,3049,1091,A,,1,25,13,61,Enkel,1,244,1627,Originele generale missive door den Ed. heer gouverneur generael Jan Pietesz. Coen ende de raden van India aan d'Ed. heren bewinthebberen tot Amsterdam in dato 9 November 1627., 9 November 1627.,9-11-1627,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1091/file/NL-HaNA_1.04.02_1091_0013,NL-HaNA_1.04.02_1091_0013,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1091/file/NL-HaNA_1.04.02_1091_0061,NL-HaNA_1.04.02_1091_0013,FALSE
43,3105,1092,A,1,1,11,17,41,Enkel,1,244,1628,Originele generale missive in dato 6 Januarij 1628., 6 Januarij 1628.,6-01-1628,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1092/file/NL-HaNA_1.04.02_1092_0017,NL-HaNA_1.04.02_1092_0017,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1092/file/NL-HaNA_1.04.02_1092_0041,NL-HaNA_1.04.02_1092_0017,FALSE
44,3106,1092,A,1,12,12,45,46,Enkel,1,#N/A,1628,Originele generale missive in dato 13 Januarij 1628., 13 Januarij 1628.,13-01-1628,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1092/file/NL-HaNA_1.04.02_1092_0045,NL-HaNA_1.04.02_1092_0045,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1092/file/NL-HaNA_1.04.02_1092_0046,NL-HaNA_1.04.02_1092_0045,FALSE
45,3107,1092,A,2,1,2,49,52,Enkel,1,244,1628,Originele generale missive in dato 24 Januarij 1628., 24 Januarij 1628.,24-01-1628,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1092/file/NL-HaNA_1.04.02_1092_0049,NL-HaNA_1.04.02_1092_0049,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1092/file/NL-HaNA_1.04.02_1092_0052,NL-HaNA_1.04.02_1092_0049,FALSE
46,3112,1092,A,2,264,288,595,644,Enkel,1,#N/A,1627,Copie generale missive in dato 9 November 1627., 9 November 1627.,9-11-1627,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1092/file/NL-HaNA_1.04.02_1092_0595,NL-HaNA_1.04.02_1092_0595,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1092/file/NL-HaNA_1.04.02_1092_0644,NL-HaNA_1.04.02_1092_0595,FALSE
47,3152,1093,A,,2,24,11,58,Enkel,1,#N/A,1628,Originele missiven door den gouverneur generael Jan Pietersz. Coen en de raden van India uijt Batavia aen bewinthebberen in datis 6 en 13 Januarij 1628.,6 en 13 januarij 1628,613-01-1628,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1093/file/NL-HaNA_1.04.02_1093_0011,NL-HaNA_1.04.02_1093_0011,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1093/file/NL-HaNA_1.04.02_1093_0058,NL-HaNA_1.04.02_1093_0011,FALSE
48,3170,1094,A,,1,47,9,57,Enkel,1,244,1628,Originele generale missive door Jan Pieters. Coen en de raden van India aan d'Ed. heeren bewinthebberen tot Amsterdam in dato 3 November 1628., 3 November 1628.,3-11-1628,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1094/file/NL-HaNA_1.04.02_1094_0009,NL-HaNA_1.04.02_1094_0009,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1094/file/NL-HaNA_1.04.02_1094_0057,NL-HaNA_1.04.02_1094_0009,FALSE
49,3263,1095,A,,1,3,7,11,Enkel,1,244,1628,Originele generale missive [van Coen en anderen in 't Casteel_Batavia] in dato 17 November 1628., 17 November 1628.,17-11-1628,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1095/file/NL-HaNA_1.04.02_1095_0007,NL-HaNA_1.04.02_1095_0007,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1095/file/NL-HaNA_1.04.02_1095_0011,NL-HaNA_1.04.02_1095_0007,FALSE
50,3298,1096,A,,3,9,13,26,Enkel,1,244,1629,"Originele generale missive [van Coen, Vlack en Van Diemen] in dato 18 Maert 1629 [in 't Casteel_Batavia].", 18 Maert 1629 [in 't Casteel_Batavia].,18-03-1629,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1096/file/NL-HaNA_1.04.02_1096_0013,NL-HaNA_1.04.02_1096_0013,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1096/file/NL-HaNA_1.04.02_1096_0026,NL-HaNA_1.04.02_1096_0013,FALSE
51,3349,1097,A,,1,67,9,139,Enkel,1,247,1629,Originele generaele missive door gouverneur generael Jacques Specx en raedt in dato 15 December 1629., 15 December 1629.,15-12-1629,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1097/file/NL-HaNA_1.04.02_1097_0009,NL-HaNA_1.04.02_1097_0009,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1097/file/NL-HaNA_1.04.02_1097_0139,NL-HaNA_1.04.02_1097_0009,FALSE
52,3498,1098,A,,477,485,1069,1086,Enkel,1,#N/A,1629,Copie generale missive van Batavia aan de heren maijores int patria in dato 18 Maert 1629., 18 Maert 1629.,18-03-1629,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1098/file/NL-HaNA_1.04.02_1098_1069,NL-HaNA_1.04.02_1098_1069,https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02/invnr/1098/file/NL-HaNA_1.04.02_1098_1086,NL-HaNA_1.04.02_1098_1069,FALSE
